20120104_141500_2048_HMIIF, G15, deg(lat/lon)=(-17.23, 19.18), deg(carr)=89.56, mu=0.917, area_px={'umbra': 0, 'penumbra': 5, 'total': 5}, area_MSH={'umbra': 0.0, 'penumbra': 0.9269871747781884, 'total': 0.9269871747781884}, mean_bright={'umbra': 0.0, 'penumbra': 145.6, 'quiet': 189.88333333333333}, sum_bright={'umbra': 0.0, 'penumbra': 728.0, 'quiet': 11393.0}, tilt_deg=55.01524554389904
20120104_141500_2048_HMIIF, G16, deg(lat/lon)=(-18.47, 16.30), deg(carr)=86.68, mu=0.927, area_px={'umbra': 378, 'penumbra': 915, 'total': 1293}, area_MSH={'umbra': 69.35979162044573, 'penumbra': 167.89473368441227, 'total': 237.25452530485805}, mean_bright={'umbra': 42.616402116402114, 'penumbra': 147.82295081967214, 'quiet': 172.67782426778243}, sum_bright={'umbra': 16109.0, 'penumbra': 135258.0, 'quiet': 82540.0}, tilt_deg=23.49296393059916
20120104_141500_2048_HMIIF, G17, deg(lat/lon)=(-18.72, 77.44), deg(carr)=147.83, mu=0.220, area_px={'umbra': 10, 'penumbra': 14, 'total': 24}, area_MSH={'umbra': 7.731317379183899, 'penumbra': 10.82384433085746, 'total': 18.555161710041357}, mean_bright={'umbra': 86.8, 'penumbra': 144.92857142857142, 'quiet': 182.28125}, sum_bright={'umbra': 868.0, 'penumbra': 2029.0, 'quiet': 11666.0}, tilt_deg=66.16035089694513
20120104_141500_2048_HMIIF, G18, deg(lat/lon)=(-22.35, 14.39), deg(carr)=84.77, mu=0.916, area_px={'umbra': 0, 'penumbra': 6, 'total': 6}, area_MSH={'umbra': 0.0, 'penumbra': 1.114021257432012, 'total': 1.114021257432012}, mean_bright={'umbra': 0.0, 'penumbra': 148.5, 'quiet': 191.225}, sum_bright={'umbra': 0.0, 'penumbra': 891.0, 'quiet': 7649.0}, tilt_deg=-3.6071995775307357
20120104_141500_2048_HMIIF, G20, deg(lat/lon)=(-23.83, 15.63), deg(carr)=86.01, mu=0.902, area_px={'umbra': 0, 'penumbra': 7, 'total': 7}, area_MSH={'umbra': 0.0, 'penumbra': 1.3193162463105423, 'total': 1.3193162463105423}, mean_bright={'umbra': 0.0, 'penumbra': 147.42857142857142, 'quiet': 188.73469387755102}, sum_bright={'umbra': 0.0, 'penumbra': 1032.0, 'quiet': 9248.0}, tilt_deg=15.381454472922258
20120104_141500_2048_HMIIF, G21, deg(lat/lon)=(-24.00, 13.36), deg(carr)=83.75, mu=0.910, area_px={'umbra': 3, 'penumbra': 24, 'total': 27}, area_MSH={'umbra': 0.5603941638389722, 'penumbra': 4.483153310711778, 'total': 5.04354747455075}, mean_bright={'umbra': 118.0, 'penumbra': 144.79166666666666, 'quiet': 190.31858407079645}, sum_bright={'umbra': 354.0, 'penumbra': 3475.0, 'quiet': 21506.0}, tilt_deg=1.0037720901585607
20120104_141500_2048_HMIIF, G22, deg(lat/lon)=(-24.70, 29.16), deg(carr)=99.55, mu=0.815, area_px={'umbra': 104, 'penumbra': 249, 'total': 353}, area_MSH={'umbra': 21.701494164876838, 'penumbra': 51.95838506783013, 'total': 73.65987923270697}, mean_bright={'umbra': 39.59615384615385, 'penumbra': 149.20883534136547, 'quiet': 176.15454545454546}, sum_bright={'umbra': 4118.0, 'penumbra': 37153.0, 'quiet': 38754.0}, tilt_deg=45.28798351266224
20120104_141500_2048_HMIIF, G25, deg(lat/lon)=(-25.06, 13.14), deg(carr)=83.53, mu=0.905, area_px={'umbra': 0, 'penumbra': 6, 'total': 6}, area_MSH={'umbra': 0.0, 'penumbra': 1.127938254391755, 'total': 1.127938254391755}, mean_bright={'umbra': 0.0, 'penumbra': 147.0, 'quiet': 186.8}, sum_bright={'umbra': 0.0, 'penumbra': 882.0, 'quiet': 5604.0}, tilt_deg=10.178752236960475
20120104_141500_2048_HMIIF, G26, deg(lat/lon)=(-26.53, 6.42), deg(carr)=76.81, mu=0.913, area_px={'umbra': 0, 'penumbra': 35, 'total': 35}, area_MSH={'umbra': 0.0, 'penumbra': 6.519289700143014, 'total': 6.519289700143014}, mean_bright={'umbra': 0.0, 'penumbra': 148.05714285714285, 'quiet': 182.01408450704224}, sum_bright={'umbra': 0.0, 'penumbra': 5182.0, 'quiet': 38769.0}, tilt_deg=54.9005938585384
20120104_141500_2048_HMIIF, G27, deg(lat/lon)=(-26.34, 4.46), deg(carr)=74.85, mu=0.917, area_px={'umbra': 0, 'penumbra': 7, 'total': 7}, area_MSH={'umbra': 0.0, 'penumbra': 1.2978269514698817, 'total': 1.2978269514698817}, mean_bright={'umbra': 0.0, 'penumbra': 150.85714285714286, 'quiet': 184.42372881355934}, sum_bright={'umbra': 0.0, 'penumbra': 1056.0, 'quiet': 10881.0}, tilt_deg=49.26843925375354
